run_id,group_id,dataset,model,imr,seed_alias,acc_pct,wf1_pct,recorded_best_epoch,recorded_dev_wf1_pct,source_status,process_return_code,nonzero_exit,log_available,log_metrics_match,evidence_id
G22-seed3,G22,CMU-MOSEI,GCNet+AMBER,"(0.5,0.7,0.3)",seed3,78.7011557512383,78.43544328200012,18,78.93409310432871,ok,3221226505,True,True,True,G22-seed3-E
G22-seed4,G22,CMU-MOSEI,GCNet+AMBER,"(0.5,0.7,0.3)",seed4,79.16895982388552,79.14486219672182,28,77.99713182633919,ok,3221226505,True,True,True,G22-seed4-E
G22-seed5,G22,CMU-MOSEI,GCNet+AMBER,"(0.5,0.7,0.3)",seed5,78.59108420473308,78.2322935530914,28,78.16672811945173,ok,3221226505,True,True,True,G22-seed5-E
G23-seed1,G23,CMU-MOSEI,GCNet+AMBER,"(0.7,0.3,0.5)",seed1,84.5074298293891,84.45430472278417,13,83.932384351284,ok,3221226505,True,True,True,G23-seed1-E
G23-seed2,G23,CMU-MOSEI,GCNet+AMBER,"(0.7,0.3,0.5)",seed2,83.87451843698403,83.63948004176522,11,85.32351990528538,ok,3221226505,True,True,True,G23-seed2-E
G23-seed3,G23,CMU-MOSEI,GCNet+AMBER,"(0.7,0.3,0.5)",seed3,83.95707209686296,83.73856250570073,14,83.50681362139353,ok,3221226505,True,True,True,G23-seed3-E
G23-seed4,G23,CMU-MOSEI,GCNet+AMBER,"(0.7,0.3,0.5)",seed4,83.79196477710512,83.68547026822884,15,83.63318378806923,ok,3221226505,True,True,True,G23-seed4-E
G23-seed5,G23,CMU-MOSEI,GCNet+AMBER,"(0.7,0.3,0.5)",seed5,84.23225096312603,84.09941151519781,15,85.01752050113106,ok,3221226505,True,True,True,G23-seed5-E
G24-seed1,G24,CMU-MOSEI,GCNet+AMBER,"(0.7,0.5,0.3)",seed1,82.47110621904238,82.33985388354377,18,82.01987640427167,ok,3221226505,True,True,True,G24-seed1-E
G24-seed2,G24,CMU-MOSEI,GCNet+AMBER,"(0.7,0.5,0.3)",seed2,82.19592735277931,81.95716945416011,16,83.34817727186206,ok,3221226505,True,True,True,G24-seed2-E
G24-seed3,G24,CMU-MOSEI,GCNet+AMBER,"(0.7,0.5,0.3)",seed3,82.08585580627408,81.85310179824205,16,81.74935579352338,ok,3221226505,True,True,True,G24-seed3-E
G24-seed4,G24,CMU-MOSEI,GCNet+AMBER,"(0.7,0.5,0.3)",seed4,82.63621353880022,82.54690453742522,17,83.12177174866997,ok,3221226505,True,True,True,G24-seed4-E
G24-seed5,G24,CMU-MOSEI,GCNet+AMBER,"(0.7,0.5,0.3)",seed5,82.14089157952668,82.09151586346255,18,81.82900924372125,ok,3221226505,True,True,True,G24-seed5-E
G25-seed1,G25,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.5,0.7)",seed1,82.9389102916896,82.736541498992,6,83.33705632104437,ok,3221226505,True,True,True,G25-seed1-E
G25-seed2,G25,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.5,0.7)",seed2,82.58117776554761,82.52436025333009,4,83.20568577103526,ok,3221226505,True,True,True,G25-seed2-E
G25-seed3,G25,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.5,0.7)",seed3,82.80132085855806,82.50347531557647,11,82.82731255047344,ok,3221226505,True,True,True,G25-seed3-E
G25-seed4,G25,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.5,0.7)",seed4,82.6086956521739,82.46382316985363,9,82.23884730299854,ok,3221226505,True,True,True,G25-seed4-E
G25-seed5,G25,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.5,0.7)",seed5,82.66373142542652,82.70652681921317,8,82.27491706399628,ok,3221226505,True,True,True,G25-seed5-E
G26-seed1,G26,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.7,0.5)",seed1,79.88442487616952,79.54057531781483,6,79.34504100606303,ok,3221226505,True,True,True,G26-seed1-E
G26-seed2,G26,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.7,0.5)",seed2,80.24215740231149,79.62696875248663,7,79.4863533161708,ok,3221226505,True,True,True,G26-seed2-E
G26-seed3,G26,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.7,0.5)",seed3,80.15960374243258,79.69434153272378,9,79.91330347528724,ok,3221226505,True,True,True,G26-seed3-E
G26-seed4,G26,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.7,0.5)",seed4,80.21463951568519,80.15339625179114,6,79.51189637606636,ok,3221226505,True,True,True,G26-seed4-E
G26-seed5,G26,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.7,0.5)",seed5,80.54485415520088,79.83727932019139,11,80.2951056932277,ok,3221226505,True,True,True,G26-seed5-E
G27-seed1,G27,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.3,0.7)",seed1,85.03026967528893,84.8941582751456,11,84.89216965052542,ok,3221226505,True,True,True,G27-seed1-E
G27-seed2,G27,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.3,0.7)",seed2,84.64501926252063,84.57273387727,4,84.67051012829855,ok,3221226505,True,True,True,G27-seed2-E
G27-seed3,G27,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.3,0.7)",seed3,85.16785910842047,84.99644159286377,2,84.74490649273048,ok,3221226505,True,True,True,G27-seed3-E
G27-seed4,G27,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.3,0.7)",seed4,85.08530544854155,85.06687945854475,10,84.83317008721923,ok,3221226505,True,True,True,G27-seed4-E
G27-seed5,G27,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.3,0.7)",seed5,85.11282333516786,84.83471281418035,6,84.65358304157861,ok,3221226505,True,True,True,G27-seed5-E
G28-seed1,G28,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.7,0.3)",seed1,79.71931755641167,79.64977367796081,7,78.43288601078395,ok,3221226505,True,True,True,G28-seed1-E
G28-seed2,G28,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.7,0.3)",seed2,79.66428178315905,79.4126762075666,12,79.11405720766066,ok,3221226505,True,True,True,G28-seed2-E
G28-seed3,G28,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.7,0.3)",seed3,80.9851403412218,80.71811838695099,5,81.1312446542239,ok,3221226505,True,True,True,G28-seed3-E
