cell_id,group_id,table,dataset,model,imr,metric,statistic,reported_value,recomputed_value,rounded_recomputed,matches_2dp,run_ids
T3-G23-wf1-std,G23,3,CMU-MOSEI,GCNet+AMBER,"(0.7,0.3,0.5)",w-F1,std,0.35,0.34793169836449883,0.35,True,G23-seed1;G23-seed2;G23-seed3;G23-seed4;G23-seed5
T3-G24-acc-mean,G24,3,CMU-MOSEI,GCNet+AMBER,"(0.7,0.5,0.3)",Acc,mean,82.31,82.30599889928453,82.31,True,G24-seed1;G24-seed2;G24-seed3;G24-seed4;G24-seed5
T3-G24-acc-std,G24,3,CMU-MOSEI,GCNet+AMBER,"(0.7,0.5,0.3)",Acc,std,0.24,0.23671781142109782,0.24,True,G24-seed1;G24-seed2;G24-seed3;G24-seed4;G24-seed5
T3-G24-wf1-mean,G24,3,CMU-MOSEI,GCNet+AMBER,"(0.7,0.5,0.3)",w-F1,mean,82.16,82.15770910736674,82.16,True,G24-seed1;G24-seed2;G24-seed3;G24-seed4;G24-seed5
T3-G24-wf1-std,G24,3,CMU-MOSEI,GCNet+AMBER,"(0.7,0.5,0.3)",w-F1,std,0.28,0.28373980734379023,0.28,True,G24-seed1;G24-seed2;G24-seed3;G24-seed4;G24-seed5
T3-G25-acc-mean,G25,3,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.5,0.7)",Acc,mean,82.72,82.71876719867913,82.72,True,G25-seed1;G25-seed2;G25-seed3;G25-seed4;G25-seed5
T3-G25-acc-std,G25,3,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.5,0.7)",Acc,std,0.15,0.14946038100165354,0.15,True,G25-seed1;G25-seed2;G25-seed3;G25-seed4;G25-seed5
T3-G25-wf1-mean,G25,3,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.5,0.7)",w-F1,mean,82.59,82.58694541139307,82.59,True,G25-seed1;G25-seed2;G25-seed3;G25-seed4;G25-seed5
T3-G25-wf1-std,G25,3,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.5,0.7)",w-F1,std,0.13,0.12522175109405007,0.13,True,G25-seed1;G25-seed2;G25-seed3;G25-seed4;G25-seed5
T3-G26-acc-mean,G26,3,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.7,0.5)",Acc,mean,80.21,80.20913593835994,80.21,True,G26-seed1;G26-seed2;G26-seed3;G26-seed4;G26-seed5
T3-G26-acc-std,G26,3,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.7,0.5)",Acc,std,0.24,0.23543477860437148,0.24,True,G26-seed1;G26-seed2;G26-seed3;G26-seed4;G26-seed5
T3-G26-wf1-mean,G26,3,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.7,0.5)",w-F1,mean,79.77,79.77051223500155,79.77,True,G26-seed1;G26-seed2;G26-seed3;G26-seed4;G26-seed5
T3-G26-wf1-std,G26,3,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.7,0.5)",w-F1,std,0.24,0.23996651178914902,0.24,True,G26-seed1;G26-seed2;G26-seed3;G26-seed4;G26-seed5
